id,Pseudo,Score,Difficulté,Temps
1731687152,Driss,57,22,220.18801617622375
1731689648,Aure,34,16,156.7547481060028
1731689809,Aure,34,16,156.79391431808472
1731693039,fabien,35,16,157.9118914604187
